company_id,ticker,cik,accession_number,form,filing_date,year,primary_doc_url,download_status
49,GAP,0000039911,0001628280-26-018573,10-K,2026-03-17,2026,https://www.sec.gov/Archives/edgar/data/39911/000162828026018573/gap-20260131.htm,downloaded_not_uploaded
49,GAP,0000039911,0000039911-25-000029,10-K,2025-03-18,2025,https://www.sec.gov/Archives/edgar/data/39911/000003991125000029/gap-20250201.htm,downloaded_not_uploaded
49,GAP,0000039911,0000039911-24-000066,10-K,2024-03-19,2024,https://www.sec.gov/Archives/edgar/data/39911/000003991124000066/gps-20240203.htm,downloaded_not_uploaded
1,DDS,0000028917,0000028917-26-000006,10-K,2026-03-27,2026,https://www.sec.gov/Archives/edgar/data/28917/000002891726000006/dds-20260131x10k.htm,downloaded_not_uploaded
1,DDS,0000028917,0000028917-25-000004,10-K,2025-03-28,2025,https://www.sec.gov/Archives/edgar/data/28917/000002891725000004/dds-20250201x10k.htm,downloaded_not_uploaded
1,DDS,0000028917,0000028917-24-000011,10-K,2024-03-29,2024,https://www.sec.gov/Archives/edgar/data/28917/000002891724000011/dds-20240203x10k.htm,downloaded_not_uploaded
2,M,0000794367,0001628280-26-021721,10-K,2026-03-27,2026,https://www.sec.gov/Archives/edgar/data/794367/000162828026021721/m-20260131.htm,downloaded_not_uploaded
2,M,0000794367,0001628280-25-014315,10-K,2025-03-21,2025,https://www.sec.gov/Archives/edgar/data/794367/000162828025014315/m-20250201.htm,downloaded_not_uploaded
2,M,0000794367,0001628280-24-012734,10-K,2024-03-22,2024,https://www.sec.gov/Archives/edgar/data/794367/000162828024012734/m-20240203.htm,downloaded_not_uploaded
3,KSS,0000885639,0001193125-26-115982,10-K,2026-03-19,2026,https://www.sec.gov/Archives/edgar/data/885639/000119312526115982/kss-20260131.htm,downloaded_not_uploaded
3,KSS,0000885639,0000950170-25-042662,10-K,2025-03-20,2025,https://www.sec.gov/Archives/edgar/data/885639/000095017025042662/kss-20250201.htm,downloaded_not_uploaded
3,KSS,0000885639,0000950170-24-034691,10-K,2024-03-21,2024,https://www.sec.gov/Archives/edgar/data/885639/000095017024034691/kss-20240203.htm,downloaded_not_uploaded
