company,section_code,char_count,file
AAPL,HEADER,22628,data\03_sections\AAPL__10-K__0000320193-23-000106__HEADER.txt
AAPL,Item_1,15152,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_1.txt
AAPL,Item_1A,67876,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_1A.txt
AAPL,Item_1B,41,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_1B.txt
AAPL,Item_1C,72,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_1C.txt
AAPL,Item_2,484,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_2.txt
AAPL,Item_3,3063,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_3.txt
AAPL,Item_4,89,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_4.txt
AAPL,Item_5,2393,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_5.txt
AAPL,Item_6,52,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_6.txt
AAPL,Item_7,14113,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_7.txt
AAPL,Item_7A,2767,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_7A.txt
AAPL,Item_8,42705,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_8.txt
AAPL,Item_9,99,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_9.txt
AAPL,Item_9A,4500,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_9A.txt
AAPL,Item_9B,803,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_9B.txt
AAPL,Item_9C,102,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_9C.txt
AAPL,Item_10,402,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_10.txt
AAPL,Item_11,157,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_11.txt
AAPL,Item_12,229,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_12.txt
AAPL,Item_13,208,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_13.txt
AAPL,Item_14,214,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_14.txt
AAPL,Item_15,1155,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_15.txt
AAPL,Item_16,66,data\03_sections\AAPL__10-K__0000320193-23-000106__Item_16.txt
AAPL,Signatures,1133,data\03_sections\AAPL__10-K__0000320193-23-000106__Signatures.txt
AAPL,HEADER,20857,data\03_sections\AAPL__10-K__0000320193-24-000123__HEADER.txt
AAPL,Item_1,15757,data\03_sections\AAPL__10-K__0000320193-24-000123__Item_1.txt
AAPL,Item_1A,68761,data\03_sections\AAPL__10-K__0000320193-24-000123__Item_1A.txt
AAPL,Item_1B,41,data\03_sections\AAPL__10-K__0000320193-24-000123__Item_1B.txt
AAPL,Item_1C,2737,data\03_sections\AAPL__10-K__0000320193-24-000123__Item_1C.txt
